netst,stla,stlo,geometry,index_right,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
CI.ALP,34.68708,-118.299461,POINT (-118.299461 34.68708),67,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.1  Mojave Basin and Range,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,2364809.14981,129592475732.0
CI.ARV,35.1269,-118.830093,POINT (-118.830093 35.1269),119,11.1.2,Central California Valley,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.2  Central California Valley,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1598520.96907,45979973870.9
CI.BAI,34.776951,-118.773354,POINT (-118.773354 34.776951),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.BAK,35.34444,-119.104446,POINT (-119.104446 35.34444),119,11.1.2,Central California Valley,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.2  Central California Valley,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1598520.96907,45979973870.9
CI.BBR,34.262299,-116.920753,POINT (-116.920753 34.262299),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.BBS,33.921391,-116.980583,POINT (-116.980583 33.921391),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.BCW,34.94009,-119.413132,POINT (-119.413132 34.94009),118,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,4703653.76328,78810793556.8
CI.BFS,34.238831,-117.658531,POINT (-117.658531 34.238831),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.BHP,33.990528,-118.36171,POINT (-118.36171 33.990528),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.BLC,34.243561,-118.673119,POINT (-118.673119 34.243561),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
