netst,stla,stlo,geometry,index_right,STATE,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,UNIT_NAME,AGE_MIN,AGE_MAX,MAJOR1,MAJOR2,MAJOR3,MINOR1,MINOR2,MINOR3,MINOR4,MINOR5,INCIDENTAL,INDETERMIN,REF_ID,REFERENCE,GENERALIZE,DIGITAL_UR,NGMDB1,NGMDB2,NGMDB3,RuleID,FIPS_C
CI.ALP,34.68708,-118.299461,POINT (-118.299461 34.68708),4810,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.ARV,35.1269,-118.830093,POINT (-118.830093 35.1269),2786,CA,M,MI;0,CAMI;0,Miocene marine rocks,Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Sandstone,Mudstone,,Siltstone,Conglomerate,,,,Gypsum,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Sedimentary, clastic",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,23,06
CI.BAI,34.776951,-118.773354,POINT (-118.773354 34.776951),2829,CA,M,MI;0,CAMI;0,Miocene marine rocks,Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Sandstone,Mudstone,,Siltstone,Conglomerate,,,,Gypsum,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Sedimentary, clastic",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,23,06
CI.BAK,35.34444,-119.104446,POINT (-119.104446 35.34444),4830,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.BBR,34.262299,-116.920753,POINT (-116.920753 34.262299),4848,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.BBS,33.921391,-116.980583,POINT (-116.980583 33.921391),5535,CA,Qoa,Qoa;0,CAQoa;0,Older Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.BCW,34.94009,-119.413132,POINT (-119.413132 34.94009),3010,CA,Oc,OGc2;0,CAOGc2;0,"Oligocene nonmarine rocks, unit 2 (Central and Southern California)",Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Miocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Middle-Eocene,Sandstone,Conglomerate,,Siltstone-mudstone,,,,,"Sedimentary-breccia, Evaporite, Limestone",,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Sedimentary, clastic",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,23,06
CI.BFS,34.238831,-117.658531,POINT (-117.658531 34.238831),1564,CA,gr-m,gr-m;0,CAgr-m;0,pre-Cenozoic granitic and metamorphic rocks undivided,Phanerozoic - Mesozoic - Cretaceous - Late-Cretaceous,preCambrian-Proterozoic - Paleoproterozoic,Plutonic,Gneiss,,,,,,,"Metasedimentary, Metavolcanic",,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Igneous and Metamorphic, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,4,06
CI.BHP,33.990528,-118.36171,POINT (-118.36171 33.990528),6279,CA,Qoa,Qoa;0,CAQoa;0,Older Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.BLC,34.243561,-118.673119,POINT (-118.673119 34.243561),2002,CA,Ku,Ku1;0,CAKu1;0,"Upper Cretaceous marine rocks, unit 1 (Upper Great Valley Sequence)",Phanerozoic - Mesozoic - Cretaceous - Late-Cretaceous - Maastrichtian,Phanerozoic - Mesozoic - Cretaceous - Late-Cretaceous - Cenomanian,Sandstone,Siltstone-mudstone,,,,,,,Conglomerate,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Sedimentary, clastic",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,23,06
CI.BRE,33.807758,-117.981163,POINT (-117.981163 33.807758),4499,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.BTP,34.68224,-118.573982,POINT (-118.573982 34.68224),5150,CA,pC,pCA2;0,CApCA2;0,"Precambrian rocks, undivided, unit 2 (Mojave Desert and Transverse Ranges)",Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene,preCambrian-Proterozoic - Paleoproterozoic,Orthogneiss,,,Granitic,,,,,"Amphibolite, Quartzite, Hornfels, Marble, Granofels, Granite, Syenite, Intrusive-carbonatite",,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Metamorphic, gneiss",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,9,06
CI.CAR,35.308189,-119.845833,POINT (-119.845833 35.308189),4460,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.CCA,35.152519,-118.016487,POINT (-118.016487 35.152519),4810,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.CCC,35.524948,-117.364532,POINT (-117.364532 35.524948),4653,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
